Key,Longitude,Latitude
444,80.6204,-70.2205
445,85.9341,-70.2205
446,91.2478,-70.2205
447,96.5614,-70.2205
448,101.875,-70.2205
449,107.189,-70.2205
450,112.502,-70.2205
451,117.816,-70.2205
452,123.13,-70.2205
453,128.444,-70.2205
454,133.757,-70.2205
455,139.071,-70.2205
456,144.385,-70.2205
457,149.698,-70.2205
458,155.012,-70.2205
459,160.326,-70.2205
460,165.639,-70.2205
461,170.953,-70.2205
462,176.267,-70.2205
463,181.58,-70.2205
464,-179.75,-68.4224
465,-174.861,-68.4224
466,-169.971,-68.4224
467,-165.082,-68.4224
468,-160.192,-68.4224
469,-155.303,-68.4224
470,-150.413,-68.4224
471,-145.524,-68.4224
472,-140.634,-68.4224
473,-135.745,-68.4224
474,-130.855,-68.4224
475,-125.966,-68.4224
476,-121.076,-68.4224
477,-116.187,-68.4224
478,-111.298,-68.4224
479,-106.408,-68.4224
480,-101.519,-68.4224
481,-96.6292,-68.4224
482,-91.7397,-68.4224
483,-86.8502,-68.4224
484,-81.9608,-68.4224
485,-77.0713,-68.4224
486,-72.1819,-68.4224
487,-67.2924,-68.4224
488,-62.4029,-68.4224
489,-57.5135,-68.4224
490,-52.624,-68.4224
491,-47.7346,-68.4224
492,-42.8451,-68.4224
493,-37.9556,-68.4224
494,-33.0662,-68.4224
495,-28.1767,-68.4224
496,-23.2872,-68.4224
497,-18.3978,-68.4224
498,-13.5083,-68.4224
499,-8.61886,-68.4224
500,-3.7294,-68.4224
501,1.16006,-68.4224
502,6.04952,-68.4224
503,10.939,-68.4224
504,15.8284,-68.4224
505,20.7179,-68.4224
506,25.6074,-68.4224
507,30.4968,-68.4224
508,35.3863,-68.4224
509,40.2757,-68.4224
510,45.1652,-68.4224
511,50.0547,-68.4224
512,54.9441,-68.4224
513,59.8336,-68.4224
514,64.7231,-68.4224
515,69.6125,-68.4224
516,74.502,-68.4224
517,79.3914,-68.4224
518,84.2809,-68.4224
519,89.1704,-68.4224
520,94.0598,-68.4224
521,98.9493,-68.4224
522,103.839,-68.4224
523,108.728,-68.4224
524,113.618,-68.4224
525,118.507,-68.4224
526,123.397,-68.4224
527,128.286,-68.4224
528,133.176,-68.4224
529,138.065,-68.4224
530,142.954,-68.4224
531,147.844,-68.4224
532,152.733,-68.4224
533,157.623,-68.4224
534,162.512,-68.4224
535,167.402,-68.4224
536,172.291,-68.4224
537,177.181,-68.4224
538,182.07,-68.4224
539,-179.75,-66.6242
540,-175.218,-66.6242
541,-170.686,-66.6242
542,-166.154,-66.6242
543,-161.622,-66.6242
544,-157.089,-66.6242
545,-152.557,-66.6242
546,-148.025,-66.6242
547,-143.493,-66.6242
548,-138.961,-66.6242
549,-134.429,-66.6242
550,-129.897,-66.6242
